Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102.910000","E","103.440000","E","105.560000","E","107.610000","E","108.500000","E",,,,,,,,,,
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"118.630000","E","118.670000","E","118.670000","E","118.670000","E","118.690000","E","118.740000","E","118.740000","E","118.760000","E","118.760000","E","118.820000","E","119.040000","E","119.210000","E","119.250000","E","119.320000","E","119.360000","E","119.470000","E","119.490000","E","119.510000","E","119.530000","E","119.660000","E","119.700000","E","119.870000","E","119.920000","E","119.960000","E"
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5008","Area from CCI_LC","1000 ha","25.260000","E","25.690000","E","26.060000","E","26.620000","E","27.150000","E","27.820000","E","28.930000","E","29.660000","E","30.640000","E","33.000000","E","36.210000","E","38.150000","E","39.010000","E","40.670000","E","42.280000","E","43.830000","E","45.150000","E","46.250000","E","47.590000","E","48.830000","E","50.640000","E","54.170000","E","57.560000","E","60.450000","E","60.450000","E","68.580000","E","69.140000","E","73.060000","E","73.060000","E","74.920000","E","78.960000","E",,,,
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237.710000","E","192.340000","E",,,,,,
"2","'004","Afghanistan","6971","Herbaceous crops","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4174.970000","E","4190.810000","E","4216.780000","E","4337.100000","E","4402.100000","E",,,,,,,,,,
"2","'004","Afghanistan","6971","Herbaceous crops","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"1300.560000","E","2083.080000","E","2728.910000","E","2438.190000","E","2297.100000","E","2072.860000","E","2126.400000","E","1642.410000","E","2195.880000","E","2340.850000","E","1838.660000","E","1799.020000","E","1879.470000","E","1787.230000","E","1901.490000","E","1932.900000","E","1780.100000","E","1347.510000","E","1538.570000","E","1496.390000","E","1257.870000","E","1179.140000","E","1172.380000","E","1197.110000","E"
"2","'004","Afghanistan","6971","Herbaceous crops","5008","Area from CCI_LC","1000 ha","5759.760000","E","5765.630000","E","5763.950000","E","5768.020000","E","5781.610000","E","5787.680000","E","5800.720000","E","5825.070000","E","5812.990000","E","5774.430000","E","5764.210000","E","5754.550000","E","5759.840000","E","5791.650000","E","5786.160000","E","5792.470000","E","5801.970000","E","5816.720000","E","5822.720000","E","5823.680000","E","5827.950000","E","5827.480000","E","5814.750000","E","5808.410000","E","5746.160000","E","5707.450000","E","5697.720000","E","5707.750000","E","5707.810000","E","5706.090000","E","5703.550000","E",,,,
"2","'004","Afghanistan","6971","Herbaceous crops","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4499.160000","E","4300.570000","E",,,,,,
"2","'004","Afghanistan","6972","Woody crops","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O",,"O",,"O",,"O",,"O",,,,,,,,,,
"2","'004","Afghanistan","6972","Woody crops","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O",,"O"
